QUANTIFIER	[FILL] a/the	THING/PROCESS	[FILL] is usually found in / usually happens in	LOCATION	[FILL] by (mechanism)	HOW	[FILL] for/to	FOR/PURPOSE	[FILL] by/through	BY/THROUGH/HOW	SCOPE	[SKIP] COMMENTS	[SKIP] DEP	[SKIP] UID	
		celestial bodies; celestial objects	are found in	space								# Q 2511		3542-b900-bb0e-b9bf	
		galaxies	are located 	millions of light years from Earth								# Q 2511		f0be-4fd0-0aa2-8c07	
		earthquakes	are most common	along tectonic plate boundaries								# Q 2515		ddc4-d38f-a1dc-4e3e	
		volcanoes	are most common	along tectonic plate boundaries								# Q 2515		d400-75e8-66a2-508b	
		North America	is located	in the Northern Hemisphere								# Q 2542		7ec3-c74e-e951-2cf9	
		South America	is located	in the Southern Hemisphere								# Q 2542		a504-7cf9-a24c-643d	
		pool balls; billiard balls	are found	on the felt							of a pool table; of a billiards table	# Q 2546		1afe-bcb0-41a2-82b9	
		digestion of proteins	occurs in the	stomach; small intestine								# Q 2549		b413-75e0-a44f-d6b3	
		organisms	can be found in	their habitats								# Q 2550		d119-be00-3406-f858	
		California	is located	on the boundary of two tectonic plates								# Q 2728		0245-f84d-7190-9208	
		Massachusetts	is not located	on the boundary of two tectonic plates								# Q 2728		f1e8-deb1-0995-3aed	
	our	Sun	is located	at the center of our solar system								#2395		8d34-3a25-f54d-9185	
	the	liver	is located	in the abdomen								idea of containment		f7d9-dc6c-81ee-64d9	
	the	kidney	is located	in the abdomen								#2861		a0fb-ccc0-14e7-d954	
	the	stomach	is located	in the abdomen								#2861		bee5-f2c3-ffb8-821d	
	the	heart	is not located	in the abdomen								#2861		a656-7ef5-baab-cce6	
		Massachusetts	is not located	in an arctic environment								#2918		7fa3-1926-7eff-f594	
	the	mantle	is located	between the crust and the outer core								#2957		6178-6f29-7a42-3d8b	
		organisms	are located	on Earth's surface								#3008		7ec6-6743-f258-1df3	
		stars	are located	light years							apart from each other	#3071		21d4-1e30-ebeb-1963	
		bodies of water	are located	on Earth's surface								#3090		02ad-ecb6-9455-502a	
		clouds	are located	in the atmosphere								#3141		3b17-133a-867e-177e	
most of the		mass of an atom	is located	in the nucleus								#3205		c18b-555b-6641-05d4	
the majority of		freshwater	is found in	in ice caps; in glaciers								#3279		2279-14a1-7023-5437	
		the ceiling	is at the	top of a room								#7589		0f46-6b62-48b5-ff1a	
		alleles	are found	at the same place on a chromosome										757e-8aeb-8783-5f7f	
		DNA	are found in	the nucleus of the cell										00b4-3f03-776a-be84	
		RNA	are found in	the nucleus of the cell										b70d-c363-8ef8-6062	
		genes	are located	on chromosomes										53ff-8300-7d00-624d	
		thymine	is found in	DNA										1275-5d9a-f961-6490	
		nonmetals	are found	to the right of the zigzag line							on the periodic table			f434-f2ef-7871-b6bb	
		gases	are found	to the right of the zigzag line							on the periodic table			74ad-7858-294f-0220	
		hydrogen	is located on	the left side; first column							on the periodic table			c283-c9aa-27a4-d875	
		alkali metals	are located on	the left side; first column							on the periodic table			91bc-715d-ce27-7ad2	
		nitrogen; arsenic; phosphorus; antimony	is found in	the nitrogen family							on the periodic table			089a-894c-36b3-2c2e	
		phosphorus	is found in	the nitrogen family							on the periodic table		combined into one	0b7f-429a-a3da-176a	
		Calcium; Beryllium; Strontium; Radium; Barium; Magnesium	is located in	alkaline earth metal family; group 2							on the periodic table			acd8-430e-0f25-eb3f	
		Beryllium	is located in	alkaline earth metal family; group 2							on the periodic table		combined into one fact	3b59-1eba-b1dc-2f12	
		Strontium	is located in	alkaline earth metal family; group 2							on the periodic table		combined into one fact	b6b5-cd06-4bc9-4d1d	
		Radium	is located in	alkaline earth metal family; group 2							on the periodic table		combined into one fact	ca54-bd0c-ae1b-f637	
		Barium	is located in	alkaline earth metal family; group 2							on the periodic table		combined into one fact	3e70-62c6-243f-666b	
the most		reactive nonmetals	are located on	the second column from the right side							of the periodic table			2a12-6288-e817-c752	
		noble gases	are located on	the rightmost side  							of the periodic table			ebfa-700d-5a8b-e82c	
the most		reactive metals	are located on	the column at the far left side							of the periodic table			be3a-9ae1-e667-dedb	
		helium; neon; argon; krypton; xenon; radon	is located in	noble gases family; group 18							on the periodic table			e34f-af69-18ca-eda2	
		lithium; sodium; potassium; rubidium; caesium; francium	is located in	alkali metals; group 1							on the periodic table			7ac9-22e1-e8a1-a46a	
		Fluorine(F); Chlorine(Cl); Bromine(Br); Iodine(I); Astatine(At)	is located in	halogens family; group 17							on the periodic table			f8a5-f6fd-f345-7603	
		protons	are found in	the nucleus							of an atom			02db-ddef-7cc9-ebae	
		manganese	is located	next to Chromium										7693-c6e8-e514-9d9c	
		gold	is located in	group 11							on the periodic table			dc5f-48cb-9fcb-a1ca	
		oxygen; selenium; sulfur; tellurium; polonium	is located in	group 16; oxygen family							on the periodic table			45eb-9c1a-5697-147e	
		Gulf of Mexico	is located 	near the equator										d690-7e6b-d777-a1a9	
		cirrus clouds	are found in	high-altitude area										0670-0443-2b3b-0ff5	
		a nuclear reaction	can be found in	a nuclear power plant										b85a-938f-c654-2ab2	
	a	moon	is located in	space										1404-0cc1-191d-35bd	
		celestial objects	are located in	outer space										3694-b001-8d82-5d20	
sometimes		ice crystals	are found in	the atmosphere										260c-597a-b511-72d7	
		Earth	is located in	the Milky Way Galaxy										c93c-da5e-b4d9-3441	
	the	asteroid belt	is located	between Mars and Jupiter										04b4-5695-5804-0ccb	
		inner planets	are located	on the opposite side of the asteroid belt							from outer planets			a061-e41f-95d4-25fe	
		Australia	is located	in the southern hemisphere										c0fd-1f6f-ff4a-b2b9	
		quasars	are located	in galaxies										9401-90f3-ba42-27f1	
		nebulae	are located	outside the solar system										4a28-2a98-c77f-8d6f	
	the	inner core	is located	in the center of the earth										4340-c456-44d2-bc56	
		lithosphere	is located	on the surface of the earth										baa2-f46a-1f54-b0a2	
		ozone	is located	in stratosphere							in the atmosphere			2ccd-8354-db20-a5da	
		weather 	usually happens in	troposphere										6b70-ac2f-4ff1-f693	
		continental land masses	are located	on Earth										42f5-4c83-2471-604f	
		oceans	are located	on Earth										2e0a-f36c-9059-cdb1	
		valley	is located between	mountains; hills										1f74-28a2-331f-33d8	
		ice caps	are located	in the Earth's pole										55c6-4f19-2f40-966f	
		phytoplanktons	are found	in bodies of water										5397-2724-60a8-c072	
		ocean currents	are found 	in oceans										cc8f-7387-a390-cd4c	
		Atlantic Ocean	is located in 	the northwestern coast of Europe										51c6-1049-e616-c780	
	the	formation of organic rocks	is usually found in	ocean										c531-b8db-0701-046f	
		dysentery amoeba	can be found	in water							that is not safe for drinking			c49a-430a-9449-e1bf	
