PROCESS_NAME	[FILL] means/a	ADJ/QUANTIFIER	ACTOR/WHO	QUANTIFIER/SCOPE	QUALIFIER	VERB	WHAT	[FILL] from	FROM	[FILL] into	INTO	[FILL] for	FOR/PURPOSE	[FILL] by/through	BY/THROUGH/HOW	SCOPE	QUANTITY/RANGE	[SKIP] COMMENTS	[SKIP] DEP	[SKIP] UID	
			an electric motor			converts	electrical energy			into	mechanical energy									6cee-7656-3eaa-7124	
			photovoltaic cells			convert	light energy			into	electricity									94cd-574c-c925-3eff	
			the radio			converts	radio waves			into	mechanical waves					in the speaker				6e4e-a5f9-8fdc-3cc6	
	a	lit	candle			converts	chemical energy			into	light energy; heat energy									a0c0-46f3-3dd1-09e4	
			an endothermic reaction			converts	heat energy			into	chemical energy									e114-ec47-36df-0886	
			comet striking a planet			converts	kinetic energy			into	thermal energy									75f1-4abc-3fc1-e959	
			friction			converts	mechanical energy			into	heat energy									2049-7f3d-b2f3-a0a3	
active transport						converts	chemical energy			into	mechanical energy									30b6-855b-b5d4-ff93	
			human activity			changed	the composition of the atmosphere									over the last hundreds of years				3b6c-ddaa-8c14-f31f	
energy transformation	means		one kind of energy			changes				into	another kind of energy									3d34-b43e-8a7e-07fd	
cutting	means					changing	the object	from	a whole	into	smaller pieces									8bde-7729-7914-ff27	
	a		disruption 	of an ecosystem	can	cause	an extinction													a01f-9582-50f1-7b14	
			ocean currents			change	the world climate							by	transferring heat to and from various regions					4c25-60d5-fb41-8bbc	
